"(주) 올가홀푸드 야탑점","할인점/슈퍼마켓","경기 성남시 분당구 야탑로69번길 2","야탑동"
"싱싱야채과일 생선","할인점/슈퍼마켓","경기 성남시 분당구 판교로 430,1층 103호 104호 근린상가","이매동, 아름마을아파트"
"이씨엠디 네이버라인플러스","식품잡화","경기 성남시 분당구 서현동263",""
"한살림성남용인소비자생협수내매장","할인점/슈퍼마켓","경기 성남시 분당구 내정로166번길 5,1층","수내동"
"(주) 디에스유통","할인점/슈퍼마켓","경기 성남시 분당구 야탑로 64,1층","야탑동"
"스마일슈퍼","식품잡화","경기 성남시 분당구 장미로 55,197동 104호 장미마을코오롱분산1상가","야탑동, 장미마을아파트"
"야미타미","식품잡화","경기 성남시 분당구 판교공원로3길 31,1층","판교동"
"커뮤니 주식회사","인삼 및 건강제품","경기 성남시 분당구 백현로101번길 16,307호","수내동, 대덕프라자"
"(주)올가홀푸드 서현점","할인점/슈퍼마켓","경기 성남시 분당구 중앙공원로 35","서현동"
"오늘커뮤니케이션","식품잡화","경기 성남시 분당구 벌말로40번길 5-1,4층 402호","야탑동"
"지유명차 분당정자점","식품잡화","경기 성남시 분당구 정자일로 55,108동 113호","금곡동, 분당두산위브아파트"
"비엠아이 인터내셔날","인삼 및 건강제품","경기 성남시 분당구 미금로 215","금곡동, 청솔마을대원아파트"
"허블리 웰빙하우스","인삼 및 건강제품","경기 성남시 분당구 중앙공원로40번길 8,1층 158호","서현동, 현대근린상가"
"과자킹","식품잡화","경기 성남시 분당구 분당로53번길 14,1층 과자킹","서현동, 서현프라자"
"분당오리멀티전자담배","식품잡화","경기 성남시 분당구 성남대로 52","구미동, 그랜드프라자"
"느티마트","할인점/슈퍼마켓","경기 성남시 분당구 정자동느티마을아파트 4단지상가 111호",""
"시내산반찬","식품잡화","경기 성남시 분당구 돌마로486번길 6,1-103","서현동, 상록프라자"
"우보 분당","인삼 및 건강제품","경기 성남시 분당구 돌마로 47,이코노샤르망 505호 일부","금곡동"
"주식회사 트로이","인삼 및 건강제품","경기 성남시 분당구 성남대로916번길 11,4층 46","야탑동, 글라스타워"
"미금역 전자담배","식품잡화","경기 성남시 분당구 성남대로 165,225호 일부","금곡동, 천사의도시외스텔1차"
"분당정자동전자담배프라자","식품잡화","경기 성남시 분당구 성남대로331번길 8,315호","정자동, 킨스타워"
"(주)새농 야탑점","할인점/슈퍼마켓","경기 성남시 분당구 판교로 471","야탑동, 한화빌딩"
"세븐일레븐 서판교로점","편의점","경기 성남시 분당구 서판교로44번길 3-1,101","판교동"
"지평막걸리","식품잡화","경기 성남시 분당구 벌말로29번길 9","야탑동"
"(주) 사랑과선행","식품잡화","경기 성남시 분당구 야탑로205번길 26,성남고령친화체험관 323","야탑동"
"전자담배","식품잡화","경기 성남시 분당구 돌마로 80,1층 69","구미동, 분당현대벤쳐빌"
"에스엠(SM)","식품잡화","경기 성남시 분당구 황새울로 224,오렌지사 B02 우나내","수내동, 청구블루빌"
"탄탄CVS","식품잡화","경기 성남시 분당구 탄천로 215,13-2","야탑동"
"주식회사 청유","인삼 및 건강제품","경기 성남시 분당구 서현로 170,318 오피스텔","서현동, 풍림아이원플러스"
"분당테크노파크D동 구내매점","식품잡화","경기 성남시 분당구 판교로 700,1층","야탑동, 분당테크노파크"
"임마누엘마트","식품잡화","경기 성남시 분당구 판교로743번길 7,상가동 지하 B101","야탑동, 목련마을SK아파트"
"카페제이","식품잡화","경기 성남시 분당구 황새울로258번길 10-9,영성라벤더 301호 일부","수내동"
"엔조이 전자담배","식품잡화","경기 성남시 분당구 돌마로 47,일부 105호","금곡동"
"시가모아 전자담배 분당미금점","식품잡화","경기 성남시 분당구 성남대로 168,114","금곡동, 미도프라자"
"성남시민축구단1호점","편의점","경기 성남시 분당구 탄천로 215,탄천종합운동장","야탑동"
"보스커피","식품잡화","경기 성남시 분당구 불정로 362,효자촌","서현동"
"씨유 분당동원점","편의점","경기 성남시 분당구 동원로 16,가동 1층","동원동"
"(주) 빈스테이블(분당점)","식품잡화","경기 성남시 분당구 내정로 152,상가 103호","수내동, 파크타운롯데아파트"
"농업회사법인 진향 주식회사","식품잡화","경기 성남시 분당구 운중로188번길 8,101","운중동"
"SD트레이딩","식품잡화","경기 성남시 분당구 발이봉남로 14,1층","수내동"
"메디포스트(주)","인삼 및 건강제품","경기 성남시 분당구 대왕판교로644번길 21","삼평동"
"와인랩","식품잡화","경기 성남시 분당구 장미로132번길 3-9,지층","야탑동"
"(주) 아웃오브주","연쇄점","경기 성남시 분당구 성남대로331번길 13,1층","정자동"
"한국자연요리연구원","식품잡화","경기 성남시 분당구 불곡북로 23","정자동"
"503호매점","식품잡화","경기 성남시 분당구 야탑동341번지 테마폴리스 지하 1층 503호",""
"(주)올가홀푸드 정자점","할인점/슈퍼마켓","경기 성남시 분당구 정자일로213번길 18,201동 1층 104호 103","정자동, 성원상떼뷰"
"대성상사","식품잡화","경기 성남시 분당구 석운동70-6번지",""
"주민두레소비자생활협동조합","할인점/슈퍼마켓","경기 성남시 분당구 운중로 118,106호","운중동, 스타타워"
"하모니마트 동판교점","할인점/슈퍼마켓","경기 성남시 분당구 동판교로91 성남판교A124-1BL B101~104호","백현동, 백현마을4단지아파트"
"아이스 월드 분당점","식품잡화","경기 성남시 분당구 느티로 71,1층 110호","정자동, 현대프라자"
"GS25분당정자일로점","편의점","경기 성남시 분당구 정자일로197 2차푸르지오시티 104-1,104-2호","정자동"
"정관장 서판교점","인삼 및 건강제품","경기 성남시 분당구 운중로138번길 37","운중동"
"(주)후니드 SK C&C 데이터센터 매점","식품잡화","경기 성남시 분당구 판교로255번길 46","삼평동"
"365 전자담배아울렛","식품잡화","경기 성남시 분당구 내정로113번길 4,판교시장 1층 105호","정자동"
"한살림성남용인소비자생활협동조합금곡매장","할인점/슈퍼마켓","경기 성남시 분당구 정자일로 15,1층 101호 102호","금곡동, 분당하우스토리"
"주식회사 오아시스 분당정자점","식품잡화","경기 성남시 분당구 정자일로 135,상가 D동 102호","정자동"
"GS25 분당구미점","편의점","경기 성남시 분당구 미금일로79번길 5","구미동"
"정관장 미금역점","인삼 및 건강제품","경기 성남시 분당구 돌마로 46,1층 105호","구미동, 구미동근생빌딩"
