Name,Address,IndustryInfo,Neighborhood,좌표
한살림성남용인소비자생활협동조,할인점/슈퍼마켓,경기 성남시 분당구 구미로116번길 5,"구미동, 수빌딩","(37.339451100000005, 127.1221704)"
더스페셜,식품잡화,경기 성남시 분당구 벌말로29번길 20,야탑동,"(37.41097725, 127.13609867564053)"
우리유기농,할인점/슈퍼마켓,경기 성남시 분당구 미금로33번길 12,"구미동, 썬미디어빌딩","(37.33651365, 127.11592185810804)"
주호,인삼 및 건강제품,경기 성남시 분당구 성남대로 345,"정자동, 정자역프라자","(37.3724397, 127.1081833)"
청구마트,할인점/슈퍼마켓,경기 성남시 분당구 불정로 219,정자동,"(37.3663447, 127.1262311)"
재단법인 케이티그룹희망나눔재단분당,식품잡화,경기 성남시 분당구 불정로 90,정자동,"(37.35867210000001, 127.11494807539202)"
그린음료,식품잡화,경기 성남시 분당구 발이봉남로3번길 6,"수내동, 대목빌딩","(37.3656252, 127.12632715000001)"
하모니마트 수내점,할인점/슈퍼마켓,경기 성남시 분당구 황새울로200번길 40,수내동,"(37.3779983, 127.1127915)"
해리아,식품잡화,경기 성남시 분당구 미금일로90번길 11,"구미동, 까치마을금성백조연립","(37.3464279, 127.10941895)"
주식회사 오아시스 분당본점,식품잡화,경기 성남시 분당구 정자일로 15,금곡동,"(37.3507854, 127.1063437)"
뉴동방상사,식품잡화,경기 성남시 분당구 석운로164번길 6뉴동방상사,석운동,
주식회사 그린스토어,인삼 및 건강제품,경기 성남시 분당구 느티로 16,정자동,"(37.3685417, 127.1123812)"
(주)기센코리아,식품잡화,경기 성남시 분당구 새마을로165번길 8 ,율동,"(37.3840034, 127.14907255)"
판교낙생농업협동조합 하나로마트,농협(마트),경기 성남시 분당구 서판교로32번길 7,판교동,"(37.389953750000004, 127.09835105)"
진일상사,할인점/슈퍼마켓,경기 성남시 분당구 수내로 201진일상사,"분당동, 샛별마을삼부아파트",
메이드인프랑스,식품잡화,경기 성남시 분당구 불정로376번길 37,"서현동,범한프라자1층120호","(37.372353, 127.1381386)"
연세아름,인삼 및 건강제품,경기 성남시 분당구 판교로 442402호 우일파르자,이매동,
사단법인국제사랑의봉사단,인삼 및 건강제품,경기 성남시 분당구 분당내곡로 151,삼평동,"(37.3972642, 127.1124588)"
메디포스트(주),인삼 및 건강제품,경기 성남시 분당구 대왕판교로644번길 21,삼평동,"(37.3998345, 127.1077167)"
태영홈마트,할인점/슈퍼마켓,경기 성남시 분당구 판교원로82번길 30101호,"운중동, 산운마을13단지아파트",
(주)차바이오에프앤씨,인삼 및 건강제품,경기 성남시 분당구 판교로 335,삼평동,"(37.405391, 127.1284568)"
스타편의점,할인점/슈퍼마켓,경기 성남시 분당구 정자일로 121D14호,"정자동, 더샵스타파크",
청솔매점,식품잡화,경기 성남시 분당구 성남대로779번길 16청솔매점,이매동,
안아픈세상,인삼 및 건강제품,경기 성남시 분당구 느티로 702층 성산빌딩,정자동,
믿음반찬,식품잡화,경기 성남시 분당구 내정로174번길 42112,"수내동,파크타운주상복합상가","(37.3726856, 127.1215298)"
풀무원푸드앤컬처 엔에이치앤,식품잡화,경기 성남시 분당구 불정로 6,,"(37.35936235, 127.10501723450885)"
세자매찬방,식품잡화,경기 성남시 분당구 내정로174번길 42148호,"수내동, 파크타운",
씨유야탑타운점,편의점,경기 성남시 분당구 장미로156번길 6,야탑동,"(37.412515299999995, 127.1379052)"
마젤커피공작소,식품잡화,경기 성남시 분당구 내정로 186104,"수내동,파크타운난초상가",
제이투코리아,식품잡화,경기 성남시 분당구 서현로210번길 1305,"서현동,보람코아","(37.3863737, 127.1254126)"
분당서울안과의원,인삼 및 건강제품,경기 성남시 분당구 분당로53번길 20,"서현동, 이랜드분당프라자","(37.383188, 127.120908)"
(주)아리바이오,인삼 및 건강제품,경기 성남시 분당구 동판교로 56,"백현동, 아리바이오빌딩","(37.4062598, 127.115387)"
푸르 무아 커피,식품잡화,경기 성남시 분당구 성남대로 170 ,금곡동,"(37.3511851, 127.1095096)"
튼튼마디,인삼 및 건강제품,경기 성남시 분당구 서현로 184203,"서현동,분당LG메디오상가",
한세성모,인삼 및 건강제품,경기 성남시 분당구 성남대로 449A-801,"정자동,로얄팰리스",
맛나반찬,식품잡화,경기 성남시 분당구 미금로 184,구미동,"(37.3464498, 127.1160634)"
맛있는다이어트클럽,인삼 및 건강제품,경기 성남시 분당구 돌마로 3611층 112호 동신코아빌딩,수내동,
강화홍삼,인삼 및 건강제품,경기 성남시 분당구 양현로94번길 29상가동-120 이매촌,,
주식회사 피디에이치아이엔씨,인삼 및 건강제품,경기 성남시 분당구 장미로86번길 6,"야탑동, 우리빌딩","(37.4131377, 127.1302832)"
석운매점,식품잡화,경기 성남시 분당구 석운로202번길 7,"석운동,B동1층","(37.3804416, 127.0467393)"
이노밸리판교사내매점,식품잡화,경기 성남시 분당구 판교로253,"상평동,이노밸리C동지하1층",
한살림성남용인소비자생활협동조합동판교백,할인점/슈퍼마켓,경기 성남시 분당구 판교역로2번길 37,백현동,"(37.386234900000005, 127.11173529999999)"
씨유분당백현점,편의점,경기 성남시 분당구 동판교로52번길 19,백현동,"(37.386252, 127.11428337499912)"
은솔유통,식품잡화,경기 성남시 분당구 판교로50 103-404,"판교동,판교원마을",
야탑홈마트,할인점/슈퍼마켓,경기 성남시 분당구 야탑로 241,"야탑동, 천궁빌딩","(37.407435500000005, 127.14534439157241)"
(주)게인플러스,식품잡화,경기 성남시 분당구 야탑로 103,야탑동,"(37.410127599999996, 127.13016217491545)"
(주)비엘,식품잡화,경기 성남시 분당구 운중로138번길 7,운중동,"(37.39086105, 127.07730910062689)"
(주)차바이오에프앤씨분당지점,인삼 및 건강제품,경기 성남시 분당구 야탑로59,야탑동,
엄마손반찬,식품잡화,경기 성남시 분당구 내정로165번길38,"수내동,양지마을602동상가지층13호",
(주)이투힐에프이앤디,식품잡화,경기 성남시 분당구 매화로 55,야탑동,"(37.412473399999996, 127.13362647528962)"
농축산마트,할인점/슈퍼마켓,경기 성남시 분당구 야탑남로 143,"야탑동, 목련마을주공1단지아파트",
공감나누미,식품잡화,경기 성남시 분당구 성남대로 381,정자동,"(37.3702636, 127.10754038079698)"
총각네야채가게 정자파크뷰,할인점/슈퍼마켓,경기 성남시 분당구 정자일로 234,"정자동, 태남프라자","(37.37110335, 127.10627385564129)"
이 제이 메디컬,인삼 및 건강제품,경기 성남시 분당구 성남대로779번길 52,이매동,"(37.3992096, 127.1214206)"
주식회사 세계로마트 야탑점,할인점/슈퍼마켓,경기 성남시 분당구 야탑동273-3,,
엄지테라피,식품잡화,경기 성남시 분당구 판교로 445,야탑동,"(37.4057508, 127.1233435)"
소중한식사,식품잡화,경기 성남시 분당구 정자일로 121디-16호일부 17호 정자동,,
다원반찬,식품잡화,경기 성남시 분당구 불정로386번길10 효자촌주상복합601동지하1층일부,,
(주)산내들에스엠,인삼 및 건강제품,경기 성남시 분당구 야탑남로 230,"야탑동, 분당테크노파크",
오렌지마트,할인점/슈퍼마켓,경기 성남시 분당구 대왕판교로 660,삼평동,"(37.40058, 127.10688)"
세븐일레븐 분당야탑본점,편의점,경기 성남시 분당구 장미로108번길 13,야탑동,"(37.412124, 127.13303052554718)"
더.세이브마트,할인점/슈퍼마켓,경기 성남시 분당구 동판교로 212,"삼평동, 봇들마을6단지아파트","(37.4062598, 127.115387)"
네이브키즈연세소아과,인삼 및 건강제품,경기 성남시 분당구 야탑로81번길 10,"야탑동, 분당아미고타워","(37.410566450000005, 127.12820774958035)"
옆집반찬,식품잡화,경기 성남시 분당구 동판교로 59,백현동,"(37.38837265, 127.11512462614155)"
가락한우,할인점/슈퍼마켓,경기 성남시 분당구 동판교로 155,"삼평동, 봇들마을7단지아파트","(37.4062598, 127.115387)"
다정한슈퍼,식품잡화,경기 성남시 분당구 매화로 14,야탑동,"(37.4157788, 127.133923)"
(주)후니드 SK플래닛 판교마트점,식품잡화,경기 성남시 분당구 삼평동623-1번지,,
(주) 헬스앤뉴트리션,인삼 및 건강제품,경기 성남시 분당구 판교역로 240 ,삼평동,"(37.3960504, 127.109674)"
운중슈퍼,할인점/슈퍼마켓,경기 성남시 분당구 운중동382-1번지,,
큰손견과,식품잡화,경기 성남시 분당구 대왕판교로 372,백현동,"(37.4052552, 127.1033889)"
분당테크노파크이동구내매점,식품잡화,경기 성남시 분당구 야탑남로 230,"야탑동, 분당테크노파크",
예스홈셰프,식품잡화,경기 성남시 분당구 내정로173번길 11,"수내동, 양지마을한양아파트","(37.3759028, 127.1178763)"
주식회사 새일매디팜,인삼 및 건강제품,경기 성남시 분당구 매화로 52,야탑동,"(37.41213005, 127.1341947)"
청원,미곡상,경기 성남시 분당구 대왕판교로 120,금곡동,"(37.3503358, 127.1018029)"
메디파크힐링,인삼 및 건강제품,경기 성남시 분당구 돌마로 43,금곡동,"(37.371871, 127.1255546)"
샘물유통,식품잡화,경기 성남시 분당구 대왕판교로644번길 65,"삼평동, 봇들마을5단지아파트","(37.3998345, 127.1077167)"
주식회사 커피지인,식품잡화,경기 성남시 분당구 석운로 21,석운동,"(37.3910227, 127.0635118)"
GS25수내제일점,편의점,경기 성남시 분당구 내정로174번길 6,수내동,"(37.3726856, 127.1215298)"
(주) 올가홀푸드 야탑점,할인점/슈퍼마켓,경기 성남시 분당구 야탑로69번길 2,야탑동,"(37.41010115, 127.1268043)"
싱싱야채과일 생선,할인점/슈퍼마켓,경기 성남시 분당구 판교로 430,"이매동, 아름마을아파트","(37.4001937, 127.0962964)"
이씨엠디 네이버라인플러스,식품잡화,경기 성남시 분당구 서현동263,,
한살림성남용인소비자생협수내매장,할인점/슈퍼마켓,경기 성남시 분당구 내정로166번길 5,수내동,"(37.3717071, 127.1211621)"
