Name,Address,IndustryInfo,Neighborhood,좌표
셀라뷰티케어,화장품,경기 성남시 분당구 미금로 36,2층,"(37.3368513, 127.1166867)"
에반젤뷰티센세이션,화장품,경기 성남시 분당구 내정로165번길 38,601동 158호,"(37.376703, 127.116195)"
고운한지아트,화장품,경기 성남시 분당구 장미로92번길 7-8,야탑동,"(37.412755950000005, 127.13181489493672)"
아름다운사람들의공간,"이용,미용",경기 성남시 분당구 발이봉남로7번길 1,1층 일부,"(37.36530275, 127.12616960095137)"
뷰티 인 서인,화장품,경기 성남시 분당구 정자일로 1,상가동 2층 202호,"(37.3507854, 127.1063437)"
미사랑,화장품,경기 성남시 분당구 내정로166번길 43,2층 211동 12호,"(37.3717071, 127.1211621)"
CAC 코리아화장품,화장품,경기 성남시 분당구 문정로 130,스타밸리스포츠 클럽,"(37.3767915, 127.1516198)"
류현아헤어크리닉,"이용,미용",경기 성남시 분당구 판교로 430,근린상가 2층,"(37.4001937, 127.0962964)"
아리아스,"이용,미용",경기 성남시 분당구 불정로420번길 34-1,1층 일부호,"(37.3747651, 127.1430540562664)"
수화장품,화장품,경기 성남시 분당구 불정로376번길 31,604동 2층 제상가 226,"(37.372353, 127.1381386)"
바디갤러리,화장품,경기 성남시 분당구 돌마로 51,108,"(37.371871, 127.1255546)"
아모레외판,화장품,경기 성남시 분당구 매화로 38,201호,"(37.41101655, 127.13417343317076)"
마임 판교,화장품,경기 성남시 분당구 양현로94번길 7,5층 502호,"(37.3907172, 127.1262382)"
마임분당정자,화장품,경기 성남시 분당구 느티로 67302호,정자동,
마임분당 나오미,화장품,경기 성남시 분당구 야탑로69번길 8,한주코아 5층,"(37.4105208, 127.12681489958771)"
알로에마임 손순자,화장품,경기 성남시 분당구 야탑로 95,세신옴니코아 713,"(37.4101687, 127.1292980998885)"
황세희댕기머리,"이용,미용",경기 성남시 분당구 정자동110 한솔마을근린상가지하1층 103,,
끌리오헤어갤러리,"이용,미용",경기 성남시 분당구 구미로 50,엘지상가 205호,"(37.3380608, 127.1144322)"
머리연출,"이용,미용",경기 성남시 분당구 양현로94번길 29,청구상가 202호,"(37.3907172, 127.1262382)"
헤어민스,"이용,미용",경기 성남시 분당구 이매로 13,2층 205호,"(37.394986200000005, 127.12214402903726)"
