storeName,type,address,district,latitude,longitude
닙비오레코스메틱,,경기 성남시 분당구 황새울로200번길 28,,37.37679535,127.113401645602
라벨르디자인,,경기 성남시 분당구 성남대로 393,,37.3801547,127.1187021
코코네일,,경기 성남시 분당구 성남대로925번길 16,,37.41293935,127.127253014225
블루엣,,경기 성남시 분당구 정자일로 192,,37.3673831,127.1063268
박영옥헤어클리닉,,경기 성남시 분당구 양현로166번길 20,,37.3991568,127.127474
라스파 정자점,,경기 성남시 분당구 정자일로 248,,37.3507854,127.1063437
웰메이드인터내셔널,,경기 성남시 분당구 백현로 97,,37.3770252,127.110418
김가이헤어,,경기 성남시 분당구 방아로 9,,37.39812465,127.13001880883
퀸즈헤어샵,,경기 성남시 분당구 내정로 55,,37.368652,127.1147912
미백천사,,경기 성남시 분당구 판교로 432,,37.4001937,127.0962964
뷰티헤어,,경기 성남시 분당구 중앙공원로 20,,37.382904,127.1322702
강민헤어드림,,경기 성남시 분당구 정자로 115,,37.3634094,127.1060879
CF헤어샵,,경기 성남시 분당구 장미로 189,,37.4134109,127.1331151
커리스훼어,,경기 성남시 분당구 정자로 144,,37.3627246,127.1201971
네일팜,,경기 성남시 분당구 돌마로 67,,37.3714707,127.1249708
분당남부 건강생활,,경기 성남시 분당구 성남대로 34,,37.3388751,127.109393
쟈니헤어,,경기 성남시 분당구 정자일로 55,,37.3507854,127.1063437
신영에스테틱,,경기 성남시 분당구 성남대로 926,,37.4125749,127.1292937
아모레카운셀러,,경기 성남시 분당구 매화로 38,,37.41101655,127.134173433171
(주)소풍엔,,경기 성남시 분당구 대왕판교로 397 ,,37.3757272,127.1017939
홍순옥헤어라인,,경기 성남시 분당구 벌말로40번길 5-1,,37.4115424,127.138766173727
아네스헤어아트,,경기 성남시 분당구 매화로 40,,37.4111476,127.134175774911
김지은헤어아트,,경기 성남시 분당구 정자로 143,,37.3634094,127.1060879
하나헤어아트,,경기 성남시 분당구 내정로174번길 42,,37.3726856,127.1215298
오은영K뷰티#,,경기 성남시 분당구 백현로101번길 17,,37.3776729,127.1131687
허쉬헤어,,경기 성남시 분당구 이매로 45,,37.39495645,127.125861974955
아모레카운셀러,,경기 성남시 분당구 매화로 38,,37.41101655,127.134173433171
뉴욕헤어,,경기 성남시 분당구 불정로386번길 10 ,,37.372939,127.138965
(주) 씨엠에스랩,,경기 성남시 분당구 판교로255번길 20,,37.403719,127.0990216
아름다운나라 피부과,,경기 성남시 분당구 황새울로 332,,37.385516,127.122269
현에스테틱,,경기 성남시 분당구 수내로 39,,37.3704945,127.1274171
티아모심는가발,,경기 성남시 분당구 성남대로 30,,37.3383841,127.1094768
